Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
06/09/00,Dem,293,159.173,0.508,0.564,0.543,0.54
06/09/00,Reform,15,0.045,0.003,0.003,0.003,0.003
06/09/00,Rep,139,63.995,0.45,0.475,0.46,0.46
06/10/00,Dem,5,2.65,0.53,0.53,0.53,0.53
06/10/00,Reform,0,0,0,0,,0.003
06/10/00,Rep,139,68.091,0.484,0.499,0.49,0.499
06/11/00,Dem,268,143.569,0.529,0.54,0.536,0.54
06/11/00,Reform,0,0,0,0,,0.003
06/11/00,Rep,0,0,0,0,,0.499
06/12/00,Dem,160,85.012,0.511,0.541,0.531,0.511
06/12/00,Reform,407,2.035,0.003,0.009,0.005,0.009
06/12/00,Rep,161,76.215,0.46,0.489,0.473,0.489
06/13/00,Dem,0,0,0,0,,0.511
06/13/00,Reform,85,0.706,0.005,0.009,0.008,0.008
06/13/00,Rep,0,0,0,0,,0.489
06/14/00,Dem,146,76.374,0.51,0.53,0.523,0.53
06/14/00,Reform,114,0.912,0.008,0.008,0.008,0.008
06/14/00,Rep,122,58.552,0.479,0.486,0.48,0.479
06/15/00,Dem,188,101.066,0.52,0.549,0.538,0.549
06/15/00,Reform,28,0.197,0.006,0.009,0.007,0.009
06/15/00,Rep,67,32.354,0.47,0.489,0.483,0.488
06/16/00,Dem,73,37.244,0.51,0.524,0.51,0.524
06/16/00,Reform,286,3.402,0.008,0.025,0.012,0.025
06/16/00,Rep,87,41.917,0.478,0.489,0.482,0.478
06/17/00,Dem,129,68.872,0.523,0.54,0.534,0.535
06/17/00,Reform,104,0.516,0.004,0.014,0.005,0.004
06/17/00,Rep,76,36.25,0.475,0.478,0.477,0.475
06/18/00,Dem,11,5.844,0.531,0.534,0.531,0.531
06/18/00,Reform,0,0,0,0,,0.004
06/18/00,Rep,27,12.9,0.475,0.48,0.478,0.48
06/19/00,Dem,141,71.588,0.5,0.517,0.508,0.517
06/19/00,Reform,500,4,0.008,0.008,0.008,0.008
06/19/00,Rep,110,54.376,0.489,0.502,0.494,0.49
06/20/00,Dem,108,55.941,0.51,0.53,0.518,0.529
06/20/00,Reform,40,0.16,0.004,0.004,0.004,0.004
06/20/00,Rep,13,6.253,0.481,0.481,0.481,0.481
